Date,p_ptt,p_mkt,t_bill,r_ptt,r_mkt,exr_ptt,exr_mkt
1/1/2002,3.425,340.82,1.82,,,,
2/1/2002,3.475,371.81,1.93,0.629,8.703,-1.301,6.773
3/1/2002,3.575,373.95,2.02,1.232,0.574,-0.788,-1.446
4/1/2002,2.9,371.42,1.94,-9.088,-0.679,-11.028,-2.619
5/1/2002,3.35,407.96,1.86,6.265,9.384,4.405,7.524
6/1/2002,3.6,389.1,1.88,3.126,-4.733,1.246,-6.613
7/1/2002,3.425,376.02,1.82,-2.164,-3.419,-3.984,-5.239
8/1/2002,3.775,361.16,1.76,4.226,-4.032,2.466,-5.792
9/1/2002,4.1,331.79,1.83,3.587,-8.482,1.757,-10.312
10/1/2002,3.85,357.22,1.86,-2.732,7.385,-4.592,5.525
11/1/2002,3.875,364.9,1.72,0.281,2.127,-1.439,0.407
12/1/2002,4.225,356.48,1.66,3.756,-2.335,2.096,-3.995
1/1/2003,4.3,370.01,1.6,0.764,3.725,-0.836,2.125
2/1/2003,4.375,361.32,1.45,0.751,-2.377,-0.699,-3.827
3/1/2003,4.55,364.55,1.48,1.703,0.890,0.223,-0.590
4/1/2003,4.7,374.63,1.57,1.409,2.728,-0.161,1.158
5/1/2003,5.3,403.82,1.53,5.218,7.503,3.688,5.973
6/1/2003,6.65,461.82,1.44,9.855,13.421,8.415,11.981
7/1/2003,6.95,484.11,1.17,1.916,4.714,0.746,3.544
8/1/2003,7.3,537.71,1.11,2.134,10.501,1.024,9.391
9/1/2003,8.3,578.98,1.06,5.576,7.395,4.516,6.335
10/1/2003,9.5,639.45,1.09,5.865,9.934,4.775,8.844
11/1/2003,10.7,646.03,1.17,5.166,1.024,3.996,-0.146
12/1/2003,18.5,772.15,0.99,23.779,17.833,22.789,16.843
1/1/2004,16,698.9,0.99,-6.305,-9.967,-7.295,-10.957
2/1/2004,16.1,716.3,1.02,0.271,2.459,-0.749,1.439
3/1/2004,14,647.3,1.01,-6.070,-10.129,-7.080,-11.139
4/1/2004,14.6,648.15,1.06,1.822,0.131,0.762,-0.929
5/1/2004,15.8,641.05,1.08,3.430,-1.101,2.350,-2.181
6/1/2004,15.4,646.64,0.92,-1.114,0.868,-2.034,-0.052
7/1/2004,15.3,636.7,1.06,-0.283,-1.549,-1.343,-2.609
8/1/2004,15,624.59,1.12,-0.860,-1.920,-1.980,-3.040
9/1/2004,16.9,644.67,1.32,5.180,3.164,3.860,1.844
10/1/2004,17,628.16,1.4,0.256,-2.594,-1.144,-3.994
