date,usd,gbp,jpy,eur,hkd,myr,sgd,bnd,php,idr,inr,chf,aud,nzd,pkr,cad,sek,dkk,nok,cny
02/07/1997,27.61,45.97,24.24,,3.58,11.00,19.40,19.34,1.05,11.27,0.82,18.98,20.92,18.76,0.70,20.09,3.58,4.18,3.80,3.28
03/07/1997,27.90,46.60,24.34,,3.60,11.04,19.47,19.41,1.05,10.92,0.85,19.02,21.04,18.90,0.74,20.29,3.60,3.60,3.81,3.35
04/07/1997,28.43,47.96,24.99,,3.67,11.27,19.83,19.84,1.08,11.68,0.83,19.39,21.37,19.27,0.75,20.69,3.68,4.26,3.89,3.39
07/07/1997,28.77,48.54,25.50,,3.71,11.38,20.02,19.99,1.09,11.83,0.86,19.63,21.50,19.45,0.76,20.89,3.74,4.32,3.94,3.43
08/07/1997,28.99,48.88,25.62,,3.74,11.49,20.17,20.17,1.10,11.90,0.86,19.84,21.56,19.58,0.76,21.06,3.74,4.34,3.96,3.47
09/07/1997,29.03,48.95,25.76,,3.75,11.60,20.20,20.18,1.10,11.91,0.85,19.83,21.62,19.60,0.78,21.13,3.74,4.33,3.95,3.47
10/07/1997,29.01,48.93,25.75,,3.75,11.60,20.21,20.22,1.10,11.93,0.85,19.91,21.56,19.52,0.73,21.13,3.77,4.33,3.96,3.47
11/07/1997,29.71,50.14,26.17,,3.83,11.89,20.72,20.74,1.11,12.19,0.86,20.48,22.08,19.91,0.78,21.64,3.85,4.45,4.05,3.58
14/07/1997,30.13,50.86,26.49,,3.88,11.86,20.88,20.87,1.06,12.24,0.86,20.53,22.23,20.12,0.78,21.99,3.88,4.45,4.06,3.60
15/07/1997,29.88,50.43,26.20,,3.85,11.70,20.72,20.75,1.01,12.18,0.85,20.29,21.97,19.92,0.78,21.85,3.82,4.37,3.99,3.59
16/07/1997,29.94,50.16,25.92,,3.86,11.68,20.74,20.76,1.05,12.17,0.87,20.34,21.92,19.73,0.79,21.84,3.83,4.39,4.00,3.60
17/07/1997,30.04,50.35,25.87,,3.87,11.61,20.75,20.75,1.04,12.10,0.87,20.31,22.10,19.83,0.79,21.86,3.85,4.40,4.03,3.60
18/07/1997,30.26,50.56,26.06,,3.90,11.67,20.74,20.81,1.08,12.21,0.88,20.45,22.29,19.69,0.80,21.98,3.89,4.44,4.09,3.63
22/07/1997,30.71,51.45,26.42,,3.96,11.72,21.01,20.99,1.08,11.76,0.90,20.78,22.71,19.95,0.81,22.31,3.95,4.47,4.14,3.68
23/07/1997,31.73,53.31,27.49,,4.10,12.08,21.75,21.66,1.12,12.37,0.92,21.41,23.41,20.56,0.83,23.04,4.06,4.57,4.24,3.82
