,usdthb,ukpthb,jpythb,eurthb
02/07/1997,27.61,45.97,24.24,
03/07/1997,27.90,46.60,24.34,
04/07/1997,28.43,47.96,24.99,
07/07/1997,28.77,48.54,25.50,
08/07/1997,28.99,48.88,25.62,
09/07/1997,29.03,48.95,25.76,
10/07/1997,29.01,48.93,25.75,
11/07/1997,29.71,50.14,26.17,
14/07/1997,30.13,50.86,26.49,
15/07/1997,29.88,50.43,26.20,
16/07/1997,29.94,50.16,25.92,
17/07/1997,30.04,50.35,25.87,
18/07/1997,30.26,50.56,26.06,
22/07/1997,30.71,51.45,26.42,
23/07/1997,31.73,53.31,27.49,
24/07/1997,32.17,53.88,27.80,
25/07/1997,32.00,53.47,27.52,
28/07/1997,32.04,53.13,27.34,
29/07/1997,31.33,51.15,26.68,
30/07/1997,31.58,51.48,26.69,
31/07/1997,32.00,52.35,27.10,
01/08/1997,31.90,52.31,26.90,
04/08/1997,31.66,51.57,26.69,
05/08/1997,31.42,51.26,26.52,
06/08/1997,31.57,51.25,26.47,
07/08/1997,31.64,50.73,26.69,
08/08/1997,31.21,49.60,26.34,
11/08/1997,31.32,49.67,27.14,
13/08/1997,31.49,49.76,27.02,
14/08/1997,31.50,49.89,27.18,
15/08/1997,31.53,50.13,26.74,
18/08/1997,31.86,51.27,27.16,
19/08/1997,32.41,52.01,27.43,
20/08/1997,32.52,52.10,27.48,
21/08/1997,32.58,51.83,27.67,
22/08/1997,33.30,52.91,28.42,
25/08/1997,34.02,54.65,28.80,
26/08/1997,34.03,54.69,28.73,
27/08/1997,33.92,54.57,28.64,
28/08/1997,34.13,55.06,28.83,
29/08/1997,34.25,55.35,28.70,
01/09/1997,34.28,55.24,28.42,
02/09/1997,34.69,55.74,28.66,
03/09/1997,36.21,57.64,29.84,
04/09/1997,37.95,60.07,31.43,
05/09/1997,37.50,59.40,30.98,
08/09/1997,36.03,57.24,29.74,
09/09/1997,35.60,56.33,29.75,
10/09/1997,35.45,56.29,29.68,
11/09/1997,35.55,56.46,29.88,
12/09/1997,35.78,57.23,29.79,
15/09/1997,36.53,58.62,30.29,
16/09/1997,36.55,58.51,30.31,
17/09/1997,36.92,58.90,30.57,
18/09/1997,36.80,58.88,30.42,
19/09/1997,36.80,59.16,30.15,
22/09/1997,37.20,59.84,30.38,
23/09/1997,36.86,59.13,30.28,
24/09/1997,36.41,58.80,30.23,
25/09/1997,35.77,57.71,29.68,
26/09/1997,35.56,57.57,29.36,
29/09/1997,35.78,57.61,29.52,
30/09/1997,36.40,58.66,30.07,
01/10/1997,36.43,58.92,30.14,
02/10/1997,36.27,58.58,30.00,
03/10/1997,36.31,58.59,29.80,
06/10/1997,36.83,59.48,30.25,
07/10/1997,36.54,59.05,29.98,
