month,policyrate,interbank,repurchase_1d,repurchase_7d,repurchase_14d,BIBOR_1w,BIBOR_1m,BIBOR_2m,BIBOR_3m,BIBOR_6m,BIBOR_1y,tbill_1m,tbill_3m,tbill_6m,tbond_1y,tbond_2y,tbond_3y,tbond_4y,tbond_5y,tbond_6y,tbond_7y,tbond_8y,tbond_9y,tbond_10y,tbond_11y,tbond_12y,tbond_13y,tbond_14y,tbond_154y,MLR
1/1/2005,2,1.89,1.85,1.98,2,2.2,2.32,2.39,2.46,2.58,2.92,1.78,1.95,2.22,2.5,2.88,3.28,3.66,4.11,4.29,4.53,4.69,4.77,4.89,4.97,5.03,5.08,5.11,5.14,4.73
2/1/2005,2,1.88,1.84,1.97,2,2.2,2.36,2.44,2.53,2.67,2.98,1.83,1.98,2.2,2.46,2.94,3.33,3.68,4.08,4.24,4.46,4.63,4.71,4.84,4.91,4.97,5.02,5.05,5.09,4.63
3/1/2005,2.25,1.93,1.81,2.04,2.24,2.25,2.44,2.53,2.62,2.8,3.08,1.91,2.07,2.26,2.54,2.96,3.29,3.56,3.9,4.03,4.26,4.41,4.5,4.68,4.76,4.82,4.87,4.9,4.94,4.62
4/1/2005,2.25,2.05,2.08,2.12,2.25,2.28,2.45,2.54,2.63,2.83,3.13,2.1,2.19,2.33,2.61,2.97,3.26,3.48,3.74,3.86,4.11,4.24,4.34,4.51,4.58,4.64,4.7,4.76,4.82,4.51
5/1/2005,2.25,2.19,2.25,2.25,2.25,2.33,2.48,2.55,2.65,2.85,3.14,2.28,2.41,2.59,2.86,3.13,3.3,3.46,3.65,3.79,4.02,4.08,4.13,4.28,4.37,4.45,4.53,4.59,4.65,4.36
6/1/2005,2.5,2.35,2.42,2.45,2.46,2.49,2.58,2.63,2.72,2.88,3.15,2.23,2.4,2.61,2.86,3.14,3.32,3.41,3.56,3.71,3.82,3.9,3.93,4.06,4.13,4.2,4.28,4.33,4.4,4.38
7/1/2005,2.75,2.53,2.55,2.58,2.6,2.69,2.78,2.83,2.91,3.05,3.31,2.58,2.74,2.87,3.12,3.45,3.61,3.73,3.88,4.01,4.17,4.22,4.3,4.39,4.45,4.52,4.6,4.69,4.74,4.51
8/1/2005,2.75,2.68,2.7,2.73,2.75,2.82,3,3.12,3.24,3.48,3.79,2.51,2.77,3.08,3.44,3.96,4.25,4.33,4.45,4.57,4.74,4.78,4.84,4.92,4.97,5.05,5.15,5.25,5.3,4.64
9/1/2005,3.25,3.07,3.1,3.14,3.22,3.27,3.51,3.63,3.76,4.01,4.31,2.61,2.94,3.24,3.5,4.22,4.57,4.67,4.78,4.85,4.94,5,5.09,5.17,5.23,5.32,5.41,5.52,5.57,4.77
10/1/2005,3.75,3.37,3.39,3.44,3.47,3.61,3.84,3.95,4.12,4.45,4.86,3.02,3.24,3.75,4.01,4.8,5.12,5.37,5.52,5.69,5.87,5.92,6.02,6.08,6.11,6.15,6.2,6.27,6.32,4.99
11/1/2005,3.75,3.67,3.69,3.75,3.75,3.81,4,4.15,4.3,4.66,5.15,3.4,3.52,3.99,4.28,5.21,5.52,5.73,5.95,6.09,6.19,6.23,6.3,6.4,6.46,6.54,6.62,6.7,6.75,5.1
12/1/2005,4,3.8,3.85,3.91,3.94,4.01,4.19,4.32,4.44,4.7,5.18,3.46,3.77,4.05,4.4,5.07,5.28,5.37,5.49,5.57,5.64,5.67,5.71,5.8,5.84,5.89,5.94,5.98,6.04,5.35
1/1/2006,4.25,3.97,4.03,4.1,4.13,4.21,4.35,4.44,4.53,4.76,5.15,3.81,3.98,4.13,4.47,4.89,5.02,5.1,5.2,5.27,5.32,5.38,5.45,5.5,5.54,5.58,5.63,5.67,5.72,5.55
2/1/2006,4.25,4.14,4.11,4.22,4.25,4.31,4.48,4.57,4.67,4.87,5.18,3.9,4.01,4.14,4.47,4.93,5.01,5.06,5.15,5.22,5.26,5.34,5.41,5.46,5.54,5.59,5.65,5.7,5.74,5.65
3/1/2006,4.5,4.31,4.31,4.41,4.45,4.53,4.7,4.8,4.9,5.09,5.37,4.1,4.3,4.39,4.67,5.01,5.06,5.1,5.15,5.18,5.2,5.26,5.31,5.36,5.44,5.5,5.57,5.63,5.69,5.94
4/1/2006,4.75,4.56,4.56,4.65,4.7,4.77,4.95,5.03,5.14,5.3,5.55,4.54,4.74,4.91,5.16,5.37,5.43,5.48,5.52,5.56,5.6,5.65,5.69,5.71,5.79,5.86,5.94,6,6.07,6.18
5/1/2006,4.75,4.61,4.63,4.69,4.75,4.85,5.04,5.14,5.24,5.39,5.6,4.66,4.76,4.85,5.05,5.27,5.31,5.34,5.38,5.4,5.42,5.46,5.49,5.51,5.58,5.66,5.73,5.78,5.85,6.26
6/1/2006,5,4.76,4.82,4.94,4.95,5.04,5.18,5.27,5.35,5.48,5.64,4.82,4.95,5.06,5.15,5.35,5.4,5.43,5.46,5.48,5.5,5.55,5.57,5.59,5.63,5.67,5.72,5.76,5.81,6.3
7/1/2006,5,4.88,4.86,4.97,5,5.14,5.29,5.35,5.41,5.51,5.65,4.9,4.96,5.09,5.21,5.36,5.41,5.44,5.48,5.5,5.52,5.56,5.59,5.61,5.65,5.68,5.71,5.75,5.81,6.37
8/1/2006,5,4.87,4.86,4.97,5,5.13,5.3,5.35,5.4,5.5,5.61,4.86,4.91,5,5.14,5.26,5.29,5.32,5.34,5.37,5.39,5.43,5.44,5.46,5.51,5.54,5.58,5.61,5.65,6.48
9/1/2006,5,4.88,4.86,4.98,5,5.12,5.27,5.31,5.35,5.4,5.43,4.91,4.94,4.95,4.98,5.06,5.08,5.09,5.11,5.12,5.14,5.17,5.19,5.21,5.24,5.26,5.28,5.3,5.32,6.48
10/1/2006,5,4.95,4.89,4.98,5,5.12,5.23,5.25,5.27,5.29,5.3,4.93,4.95,4.94,4.92,4.99,5.01,5.04,5.06,5.08,5.1,5.14,5.16,5.18,5.21,5.23,5.26,5.28,5.31,6.62
11/1/2006,5,4.93,4.9,4.97,5,5.12,5.22,5.25,5.25,5.27,5.27,4.85,4.85,4.84,4.79,4.82,4.82,4.84,4.85,4.86,4.88,4.91,4.94,4.99,5.03,5.07,5.11,5.13,5.16,6.65
12/1/2006,5,4.85,4.89,4.96,5,5.12,5.22,5.24,5.24,5.24,5.23,4.85,4.85,4.83,4.81,4.84,4.83,4.85,4.87,4.88,4.91,4.95,4.98,5.04,5.1,5.17,5.23,5.26,5.31,6.65
1/1/2007,4.75,4.84,4.84,4.89,4.89,5,5.11,5.13,5.13,5.11,5.08,4.83,4.78,4.74,4.7,4.73,4.74,4.77,4.78,4.8,4.84,4.9,4.95,5.02,5.1,5.18,5.23,5.25,5.32,6.71
2/1/2007,4.5,4.73,4.74,4.75,4.74,4.86,4.95,4.95,4.95,4.92,4.84,4.71,4.58,4.53,4.5,4.5,4.48,4.5,4.52,4.54,4.56,4.59,4.61,4.63,4.67,4.71,4.76,4.8,4.84,6.68
3/1/2007,4.5,4.48,4.5,4.54,4.53,4.63,4.7,4.6,4.54,4.45,4.36,4.32,4.19,4.12,4.05,4.03,4.05,4.09,4.12,4.15,4.18,4.22,4.25,4.29,4.35,4.45,4.49,4.51,4.54,6.53
4/1/2007,4,4.17,4.17,4.15,4.11,4.32,4.37,4.32,4.25,4.18,4.09,3.79,3.7,3.66,3.65,3.64,3.68,3.74,3.78,3.82,3.87,3.93,3.99,4.05,4.14,4.25,4.32,4.39,4.41,6.33
5/1/2007,3.5,3.88,3.85,3.83,3.8,3.99,4,3.98,3.95,3.9,3.82,3.38,3.28,3.25,3.24,3.26,3.32,3.37,3.42,3.46,3.52,3.58,3.64,3.7,3.79,3.91,4,4.11,4.14,6.14
6/1/2007,3.5,3.48,3.5,3.53,3.53,3.68,3.75,3.75,3.75,3.76,3.74,2.89,2.94,3.02,3.15,3.38,3.5,3.67,3.8,3.93,4.08,4.18,4.25,4.32,4.45,4.57,4.66,4.75,4.78,6.02
7/1/2007,3.25,3.37,3.39,3.39,3.39,3.56,3.66,3.68,3.69,3.72,3.75,3.09,3.05,3.14,3.29,3.5,3.73,3.96,4.12,4.27,4.38,4.49,4.56,4.6,4.67,4.77,4.82,4.86,4.87,5.93
8/1/2007,3.25,3.2,3.25,3.25,3.25,3.38,3.5,3.53,3.57,3.63,3.69,3.08,3.01,3.1,3.29,3.44,3.66,3.89,4.13,4.32,4.46,4.58,4.7,4.74,4.84,4.92,4.97,5.01,5.02,5.84
9/1/2007,3.25,3.22,3.25,3.25,3.25,3.38,3.5,3.52,3.55,3.62,3.69,3.01,3.03,3.11,3.35,3.44,3.6,3.79,4.02,4.2,4.36,4.52,4.6,4.67,4.8,4.92,4.96,4.99,5,5.79
10/1/2007,3.25,3.2,3.25,3.25,3.25,3.39,3.5,3.53,3.57,3.63,3.71,3.08,3.07,3.2,3.46,3.62,3.81,3.97,4.2,4.43,4.55,4.7,4.78,4.86,4.99,5.08,5.11,5.13,5.15,5.77
11/1/2007,3.25,3.23,3.25,3.25,3.25,3.38,3.51,3.57,3.62,3.68,3.78,3.13,3.13,3.25,3.59,3.97,4.17,4.28,4.48,4.76,4.9,5.01,5.09,5.14,5.22,5.28,5.31,5.35,5.37,5.74
12/1/2007,3.25,3.2,3.25,3.25,3.25,3.37,3.74,3.84,3.89,3.93,4.04,3.11,3.16,3.29,3.64,4.03,4.21,4.4,4.62,4.78,4.85,5,5.09,5.13,5.23,5.31,5.36,5.42,5.45,5.7
