R_SG,R_TH
0.968283551,0.349876759
0.038732857,3.711443527
-0.148334604,1.430982506
0.465645639,1.3479594
-0.50800369,-0.323094382
-0.442934456,-2.117441846
-0.759010101,-1.866897514
0.253794085,2.595802545
-0.035573488,-0.76779993
1.068422127,1.205969471
1.225411639,1.013405104
-0.932641686,1.551461326
-0.480093556,0.559205263
0.3711836,-1.147459521
-0.25072101,-0.071860664
-0.777074943,-0.963902832
0.042680804,0.262618611
-0.277976618,-3.408858625
-0.15371338,0.708446162
-0.010827442,-3.997497837
0.07170997,-3.408797653
-1.009560348,-2.262714214
0.345974699,0.609215062
-0.288153202,-2.043047739
1.247955332,-1.568110344
-74.810383,-100.9178478
-0.369207765,-2.284914027
76.58384618,101.1939856
-1.173024826,-1.143194188
0.768413218,4.413066181
0.221828643,2.15765684
-0.802060488,-0.754477394
-1.443681013,-0.314476279
0.495145829,0.009462209
-1.011469883,-1.884312453
0.23117286,0.213268104
0.029143633,-2.832639906
-0.314653525,-2.65062295
0.141032481,-0.731536422
-0.576336199,-1.039432457
-0.076178242,2.163668939
-0.266161164,1.702113837
0.850238077,2.336978488
-0.624484108,0.044437656
-1.064714148,-0.499670478
-0.879769019,-3.084709616
-0.010771093,-1.156450366
-0.513674032,1.006678596
-0.175742415,0.968103424
-1.192142184,0.351924906
-1.294474488,-0.140906235
1.245307814,1.659701221
0.264641875,-0.445059807
0.553241905,0.506678418
-0.602302724,-0.235475615
-1.242609327,-1.012674023
0.080527144,-1.526987111
0.727104786,3.103594761
-0.562876226,-1.494422076
-0.110740383,1.137960312
1.384070376,0.177690767
-0.071769599,-0.382356085
-0.76030024,0.378162304
-0.9042954,-0.23933669
-1.377109726,0.457180404
0.147426552,-2.133094659
-0.260224744,-1.081695684
0.473388149,-0.440316295
-0.625130638,-0.1984142
-0.721586768,-0.198808665
-0.028219429,-0.644119917
-1.135858084,-1.698554637
-0.330575497,-2.087118515
0.703977913,0.409128673
0.595451568,-0.180113414
1.937726245,-2.581125045
0.603812388,-2.63195883
-0.423985071,-2.01678567
0.33110446,-1.415369387
1.692584718,-2.212830665
0.54526823,1.351893251
-0.698611086,-4.941510951
-1.368543432,-2.37885054
-0.447432373,0.593356878
-0.465044716,2.795603261
0.148601831,3.254384649
0.37514926,-2.513762009
-0.308472046,-0.044730414
0.046696242,-2.22194632
0.952980474,0.26005989
-0.562753123,-1.237799095
0.13602711,-0.831405324
-0.081787719,1.461931138
-0.221986433,-0.538178225
0.015525992,-1.210815564
-0.648804571,-0.667005646
-0.204321119,-0.875636885
-0.559862699,-3.232038949
-0.102892063,0.72107572
-0.762922768,-1.363897263
-1.062313677,-1.110041724
-0.141058261,-0.451728386
-0.028135048,-0.666894657
0.048226666,-0.788593874
0.659771024,-2.740766242
-0.958547471,-3.014524757
0.894163842,-3.834976277
0.272722229,3.276414208
1.303431814,4.932050119
0.323343027,-2.285447188
-0.861947067,0.58635778
-1.69724479,4.723086361
-0.778477105,1.556986233
0.685459689,-0.170541796
-0.962386688,7.577958072
-0.331187617,8.294479701
1.192413972,6.136490093
0.604932152,-3.730318102
0.461398694,-3.021348785
-1.215994132,3.443815798
-0.740517289,2.119857754
-0.060983668,-3.252548269
-0.639514233,-2.683036649
-0.899872197,2.222187969
-0.996122354,5.896287758
0.138077309,-1.1182443
0.191949122,-0.444394272
1.356498912,0.976286169
1.232054717,-4.415694191
0.333167648,0.429945022
-0.016152479,1.964797935
-0.300811406,5.138067342
0.105766297,0.218662723
