set	klse
803.13	1230.53
787.47	1231.45
790.23	1233.12
820.11	1237.5
831.93	1239.54
843.22	1236.92
840.5	1232.38
822.89	1220.38
807.67	1211.04
828.91	1216.64
822.57	1214.42
832.55	1224.55
841.03	1235.69
854.18	1220.63
858.97	1232.49
849.17	1241.87
848.56	1244.13
840.42	1239.35
842.63	1228.89
814.39	1212.55
820.18	1215.03
788.04	1216.72
761.63	332.46
744.59	341.53
749.14	345.88
747.76	339.22
737.23	324.54
733.99	328.7
722.57	302.09
263.39	1259.1
257.44	1246.91
708.2	1252.48
700.15	1247.9
731.74	1258.64
747.7	1266.22
742.08	1264.9
739.75	1271.57
739.82	1265.37
726.01	1259.44
727.56	1270.67
707.24	1260.44
688.74	1247.23
683.72	1252.28
676.65	1249.84
691.45	1251.21
703.32	1237.48
719.95	1250.33
720.27	1249.72
716.68	1249.76
694.91	1242.47
686.92	1234.03
693.87	1226.87
700.62	1234.83
703.09	1225.99
702.1	1212.94
713.85	1214.6
710.68	1217.34
714.29	1225.59
712.61	1223.31
709.09	1217.64
705.43	1203.1
694.74	1187.77
716.64	1181.07
706.01	1152.51
714.09	1136.78
715.36	1162.25
712.63	1163.85
715.33	1147.96
713.62	1138.36
716.89	1087.78
701.76	1104.58
700.23	1104.58
694.21	1127.6
691.16	1120.5
689.79	1109.6
688.42	1096.53
684	1089.49
672.48	1074.86
658.59	1059.51
661.29	1080.17
660.1	1097.96
643.28	1090
626.57	1107.14
614.06	1107.14
605.43	1107.37
592.18	1088.52
600.24	1084.55
571.3	1072.49
557.87	1041.27
561.19	1041.91
577.1	1041.39
596.19	1058.62
581.39	1071.03
581.13	1078.2
568.36	1081.19
569.84	1081.88
562.83	1096.33
558.17	1105.62
566.39	1104.83
563.35	1117.97
556.57	1126.83
552.87	1119.28
548.05	1108.84
530.62	1117.31
534.46	1117.2
527.22	1110.36
521.4	1108.25
519.05	1100.41
515.6	1078.38
511.55	1077.4
497.72	1076.93
482.94	1088.12
464.77	1097.48
480.25	1097.54
504.53	1088.98
493.13	1077.92
496.03	1069.96
520.02	1066.74
528.18	1070.06
527.28	1077.3
568.79	1084.88
617.98	1080.61
657.09	1073.31
633.03	1060.53
614.19	1057.77
635.71	1033.24
649.33	1008.52
628.55	1017.61
611.91	1015.5
625.66	1012.48
663.66	1004.09
656.28	1000.38
653.37	1001.55
659.78	1018.01
631.28	1034.07
634	1045.89
646.58	1041.56
680.67	1029.41
682.16	1031.61
679.53	1024.74
665.62	1012.84
652.04	1002.63
663.82	978.56
648.47	945.08
635.32	951.74
638.04	928.33
636.85	932.36
632.25	902.14
632.73	908.83
628.69	918.54
623.25	910.18
604.34	880.45
590.44	885.31
586.41	929.57
583.04	909.24
559.59	905
529.61	883.96
525.49	856
523.74	847.45
511.76	812.18
502.23	804.4
493.84	804.4
515.37	795.73
514.07	750.76
522.2	731.12
540.39	821.59
572.3	879.71
565.01	888.75
541.55	863.08
