"","date","index"
"1","1/5/1998",366.18
"2","1/6/1998",370.27
"3","1/7/1998",370.31
"4","1/8/1998",360.17
"5","1/9/1998",349.67
"6","1/12/1998",339.17
"7","1/13/1998",348.96
"8","1/14/1998",367.69
"9","1/15/1998",364.13
"10","1/16/1998",383.01
"11","1/19/1998",420.72
"12","1/20/1998",413.79
"13","1/21/1998",432.86
"14","1/22/1998",420.8
"15","1/23/1998",422.87
"16","1/26/1998",424.51
"17","1/27/1998",423.1
"18","1/28/1998",434.22
"19","1/29/1998",447.24
"20","1/30/1998",495.23
"21","2/2/1998",554.75
"22","2/3/1998",558.92
"23","2/4/1998",505.59
"24","2/5/1998",531.11
"25","2/6/1998",535.98
"26","2/9/1998",530.5
"27","2/10/1998",524.52
"28","2/12/1998",509.33
"29","2/13/1998",499.97
"30","2/16/1998",484.06
"31","2/17/1998",502.53
"32","2/18/1998",513.27
"33","2/19/1998",510.41
"34","2/20/1998",521.83
"35","2/23/1998",521.82
"36","2/24/1998",517.06
"37","2/25/1998",512.98
"38","2/26/1998",524.06
"39","2/27/1998",528.42
"40","3/2/1998",538.17
"41","3/3/1998",539.72
"42","3/4/1998",528.24
"43","3/5/1998",509.23
"44","3/6/1998",508.07
"45","3/9/1998",509.98
"46","3/10/1998",508.55
"47","3/11/1998",502.79
"48","3/12/1998",498.67
"49","3/13/1998",514.24
"50","3/16/1998",512.54
"51","3/17/1998",510.46
"52","3/18/1998",500.46
"53","3/19/1998",503.55
"54","3/20/1998",499.75
"55","3/23/1998",503.67
"56","3/24/1998",490.27
"57","3/25/1998",480.07
"58","3/26/1998",470.67
"59","3/27/1998",469.85
"60","3/30/1998",465.09
"61","3/31/1998",459.11
"62","4/1/1998",456.57
"63","4/2/1998",453.88
"64","4/3/1998",442.96
"65","4/7/1998",430.04
"66","4/8/1998",444.33
"67","4/9/1998",444.23
"68","4/10/1998",446.13
"69","4/16/1998",431.63
"70","4/17/1998",438.99
"71","4/20/1998",434.37
"72","4/21/1998",435.23
"73","4/22/1998",436.73
"74","4/23/1998",427.41
"75","4/24/1998",424.79
"76","4/27/1998",418.79
"77","4/28/1998",419.55
"78","4/29/1998",412.25
"79","4/30/1998",412.13
"80","5/4/1998",400.71
"81","5/6/1998",393.36
"82","5/7/1998",393.95
"83","5/8/1998",386.42
"84","5/12/1998",381.65
"85","5/13/1998",370.92
"86","5/14/1998",368.82
"87","5/15/1998",369.43
"88","5/18/1998",357.21
"89","5/19/1998",346.46
"90","5/20/1998",355.51
"91","5/21/1998",355.91
"92","5/22/1998",355.82
"93","5/25/1998",358.9
"94","5/26/1998",354.54
"95","5/27/1998",340.12
"96","5/28/1998",333.9
"97","5/29/1998",325.59
"98","6/1/1998",313.04
"99","6/2/1998",313.64
"100","6/3/1998",313.21
"101","6/4/1998",318.81
"102","6/5/1998",318.16
"103","6/8/1998",312.37
"104","6/9/1998",308.25
"105","6/10/1998",292.1
"106","6/11/1998",283.92
"107","6/12/1998",279.37
"108","6/15/1998",263.39
"109","6/16/1998",257.44
"110","6/17/1998",272.94
"111","6/18/1998",295.15
"112","6/19/1998",284.32
"113","6/22/1998",275.9
"114","6/23/1998",274.06
"115","6/24/1998",267.74
"116","6/25/1998",264.09
"117","6/26/1998",264.98
"118","6/29/1998",271.2
"119","6/30/1998",267.33
"120","7/2/1998",277.98
"121","7/3/1998",273.74
"122","7/6/1998",271
"123","7/7/1998",272.28
"124","7/8/1998",273.43
"125","7/10/1998",274.26
"126","7/13/1998",266.75
"127","7/14/1998",265.71
"128","7/15/1998",273.75
"129","7/16/1998",282.01
"130","7/17/1998",295.28
"131","7/20/1998",297.74
"132","7/21/1998",287.34
"133","7/22/1998",286.52
"134","7/23/1998",276.2
"135","7/24/1998",275.44
"136","7/27/1998",269.93
"137","7/28/1998",266.72
"138","7/29/1998",263.49
"139","7/30/1998",266.74
"140","7/31/1998",266.72
"141","8/3/1998",260.89
"142","8/4/1998",258.04
"143","8/5/1998",254.07
"144","8/6/1998",252.07
"145","8/7/1998",247.54
"146","8/10/1998",238.3
"147","8/11/1998",234.14
"148","8/13/1998",230.87
"149","8/14/1998",243.62
"150","8/17/1998",235.24
"151","8/18/1998",235.68
"152","8/19/1998",243.37
"153","8/20/1998",243
"154","8/21/1998",238.92
"155","8/24/1998",233.15
"156","8/25/1998",230.22
"157","8/26/1998",227.5
"158","8/27/1998",226.85
"159","8/28/1998",218.85
"160","8/31/1998",214.53
"161","9/1/1998",211.09
"162","9/2/1998",207.59
"163","9/3/1998",207.4
"164","9/4/1998",207.31
"165","9/7/1998",220.56
"166","9/8/1998",212.85
"167","9/9/1998",213.98
"168","9/10/1998",218.91
"169","9/11/1998",212.7
"170","9/14/1998",211.34
"171","9/15/1998",211.08
"172","9/16/1998",218.7
"173","9/17/1998",220.05
"174","9/18/1998",221.85
"175","9/21/1998",221.88
"176","9/22/1998",223.14
"177","9/23/1998",231.28
"178","9/24/1998",250.18
"179","9/25/1998",248.93
"180","9/28/1998",255.53
"181","9/29/1998",255.35
"182","9/30/1998",253.82
"183","10/1/1998",254.47
"184","10/2/1998",251.56
"185","10/5/1998",246.26
"186","10/6/1998",248.14
"187","10/7/1998",263.23
"188","10/8/1998",285.22
"189","10/9/1998",292.5
"190","10/12/1998",290.8
"191","10/13/1998",290.19
"192","10/14/1998",285.12
"193","10/15/1998",295.19
"194","10/16/1998",319.22
"195","10/19/1998",314.17
"196","10/20/1998",331.36
