Jul.Day,YYYY/MM/DD,Wdy,THB/USD
2450816,1/2/1998,Fri,48.023
2450819,1/5/1998,Mon,50.366
2450820,1/6/1998,Tue,52.665
2450821,1/7/1998,Wed,52.203
2450822,1/8/1998,Thu,53.957
2450823,1/9/1998,Fri,53.204
2450826,1/12/1998,Mon,55.795
2450827,1/13/1998,Tue,53.85
2450828,1/14/1998,Wed,50.494
2450829,1/15/1998,Thu,51.434
2450830,1/16/1998,Fri,51.707
2450833,1/19/1998,Mon,51.919
2450834,1/20/1998,Tue,51.951
2450835,1/21/1998,Wed,52.121
2450836,1/22/1998,Thu,53.39
2450837,1/23/1998,Fri,53.708
2450840,1/26/1998,Mon,53.65
2450841,1/27/1998,Tue,53.515
2450842,1/28/1998,Wed,53.315
2450843,1/29/1998,Thu,53.578
2450844,1/30/1998,Fri,52.718
2450847,2/2/1998,Mon,50.841
2450848,2/3/1998,Tue,47.88
2450849,2/4/1998,Wed,50.841
2450850,2/5/1998,Thu,48.498
2450851,2/6/1998,Fri,47.712
2450854,2/9/1998,Mon,47.372
2450855,2/10/1998,Tue,44.728
2450856,2/11/1998,Wed,43.238
2450857,2/12/1998,Thu,44.443
2450858,2/13/1998,Fri,45.887
2450861,2/16/1998,Mon,47.268
2450862,2/17/1998,Tue,45.798
2450863,2/18/1998,Wed,45.34
2450864,2/19/1998,Thu,43.828
2450865,2/20/1998,Fri,44.313
2450868,2/23/1998,Mon,44.441
2450869,2/24/1998,Tue,43.661
2450870,2/25/1998,Wed,42.993
2450871,2/26/1998,Thu,42.642
2450872,2/27/1998,Fri,42.705
2450875,3/2/1998,Mon,42.932
2450876,3/3/1998,Tue,43.829
2450877,3/4/1998,Wed,44.506
2450878,3/5/1998,Thu,44.742
2450879,3/6/1998,Fri,44.248
2450882,3/9/1998,Mon,44.409
2450883,3/10/1998,Tue,43.551
2450884,3/11/1998,Wed,43.492
2450885,3/12/1998,Thu,42.753
2450886,3/13/1998,Fri,40.033
2450889,3/16/1998,Mon,39.578
2450890,3/17/1998,Tue,39.945
2450891,3/18/1998,Wed,40.714
2450892,3/19/1998,Thu,39.982
2450893,3/20/1998,Fri,39.562
2450896,3/23/1998,Mon,38.386
2450897,3/24/1998,Tue,38.458
2450898,3/25/1998,Wed,38.211
2450899,3/26/1998,Thu,38.409
2450900,3/27/1998,Fri,37.781
2450903,3/30/1998,Mon,38.402
2450904,3/31/1998,Tue,39.24
2450905,4/1/1998,Wed,39.401
2450906,4/2/1998,Thu,40.725
2450907,4/3/1998,Fri,40.922
2450910,4/6/1998,Mon,39.857
2450911,4/7/1998,Tue,39.679
2450912,4/8/1998,Wed,39.886
2450913,4/9/1998,Thu,39.758
2450917,4/13/1998,Mon,39.812
2450918,4/14/1998,Tue,39.744
2450919,4/15/1998,Wed,39.869
2450920,4/16/1998,Thu,39.94
2450921,4/17/1998,Fri,39.311
2450924,4/20/1998,Mon,39.267
2450925,4/21/1998,Tue,39.064
2450926,4/22/1998,Wed,39.251
2450927,4/23/1998,Thu,39.162
2450928,4/24/1998,Fri,38.796
2450931,4/27/1998,Mon,38.701
2450932,4/28/1998,Tue,38.5
2450933,4/29/1998,Wed,38.557
2450934,4/30/1998,Thu,38.601
2450935,5/1/1998,Fri,38.406
2450938,5/4/1998,Mon,38.398
2450939,5/5/1998,Tue,38.356
2450940,5/6/1998,Wed,39.147
2450941,5/7/1998,Thu,38.69
2450942,5/8/1998,Fri,38.549
2450945,5/11/1998,Mon,38.501
2450946,5/12/1998,Tue,38.679
2450947,5/13/1998,Wed,38.898
2450948,5/14/1998,Thu,38.541
2450949,5/15/1998,Fri,38.844
2450953,5/19/1998,Tue,39.396
2450954,5/20/1998,Wed,39.304
2450955,5/21/1998,Thu,39.048
2450956,5/22/1998,Fri,39.197
2450959,5/25/1998,Mon,39.102
2450960,5/26/1998,Tue,39.048
2450961,5/27/1998,Wed,39.5
2450962,5/28/1998,Thu,40.05
2450963,5/29/1998,Fri,40.347
2450966,6/1/1998,Mon,41.903
2450967,6/2/1998,Tue,41.701
2450968,6/3/1998,Wed,41.948
2450969,6/4/1998,Thu,42.792
2450970,6/5/1998,Fri,43.052
2450973,6/8/1998,Mon,43.049
2450974,6/9/1998,Tue,42.725
2450975,6/10/1998,Wed,43.455
2450976,6/11/1998,Thu,43.2
2450977,6/12/1998,Fri,43.406
2450980,6/15/1998,Mon,43.648
2450981,6/16/1998,Tue,43.042
2450982,6/17/1998,Wed,41.004
