month,m1,m3,y1,y3,y5,y7,y10
01/2005,1.78,1.95,2.50,3.28,4.11,4.53,4.89
02/2005,1.83,1.98,2.46,3.33,4.08,4.46,4.84
03/2005,1.91,2.07,2.54,3.29,3.90,4.26,4.68
04/2005,2.10,2.19,2.61,3.26,3.74,4.11,4.51
05/2005,2.28,2.41,2.86,3.30,3.65,4.02,4.28
06/2005,2.23,2.40,2.86,3.32,3.56,3.82,4.06
07/2005,2.58,2.74,3.12,3.61,3.88,4.17,4.39
08/2005,2.51,2.77,3.44,4.25,4.45,4.74,4.92
09/2005,2.61,2.94,3.50,4.57,4.78,4.94,5.17
10/2005,3.02,3.24,4.01,5.12,5.52,5.87,6.08
11/2005,3.40,3.52,4.28,5.52,5.95,6.19,6.40
12/2005,3.46,3.77,4.40,5.28,5.49,5.64,5.80
01/2006,3.81,3.98,4.47,5.02,5.20,5.32,5.50
02/2006,3.90,4.01,4.47,5.01,5.15,5.26,5.46
03/2006,4.10,4.30,4.67,5.06,5.15,5.20,5.36
04/2006,4.54,4.74,5.16,5.43,5.52,5.60,5.71
05/2006,4.66,4.76,5.05,5.31,5.38,5.42,5.51
06/2006,4.82,4.95,5.15,5.40,5.46,5.50,5.59
07/2006,4.90,4.96,5.21,5.41,5.48,5.52,5.61
08/2006,4.86,4.91,5.14,5.29,5.34,5.39,5.46
09/2006,4.91,4.94,4.98,5.08,5.11,5.14,5.21
10/2006,4.93,4.95,4.92,5.01,5.06,5.10,5.18
11/2006,4.85,4.85,4.79,4.82,4.85,4.88,4.99
12/2006,4.85,4.85,4.81,4.83,4.87,4.91,5.04
01/2007,4.83,4.78,4.70,4.74,4.78,4.84,5.02
02/2007,4.71,4.58,4.50,4.48,4.52,4.56,4.63
03/2007,4.32,4.19,4.05,4.05,4.12,4.18,4.29
04/2007,3.79,3.70,3.65,3.68,3.78,3.87,4.05
05/2007,3.38,3.28,3.24,3.32,3.42,3.52,3.70
06/2007,2.89,2.94,3.15,3.50,3.80,4.08,4.32
07/2007,3.09,3.05,3.29,3.73,4.12,4.38,4.60
08/2007,3.08,3.01,3.29,3.66,4.13,4.46,4.74
09/2007,3.01,3.03,3.35,3.60,4.02,4.36,4.67
10/2007,3.08,3.07,3.46,3.81,4.20,4.55,4.86
11/2007,3.13,3.13,3.59,4.17,4.48,4.90,5.14
12/2007,3.11,3.16,3.64,4.21,4.62,4.85,5.13
01/2008,3.11,3.13,3.29,3.64,4.03,4.31,4.51
02/2008,3.06,3.03,3.00,3.21,3.64,3.94,4.26
03/2008,3.01,2.93,2.89,3.12,3.59,3.99,4.45
04/2008,3.03,2.98,3.07,3.45,3.93,4.33,4.65
05/2008,3.11,3.13,3.45,3.96,4.27,4.72,4.94
06/2008,3.21,3.28,3.94,4.97,5.40,5.67,5.83
07/2008,3.33,3.42,3.97,4.82,5.23,5.45,5.59
08/2008,3.55,3.58,3.72,4.23,4.61,4.78,4.87
09/2008,3.77,3.77,3.81,4.10,4.34,4.49,4.56
10/2008,3.51,3.52,3.51,3.67,3.93,4.12,4.29
11/2008,3.31,3.27,3.21,3.29,3.48,3.70,3.90
12/2008,2.47,2.39,2.26,2.30,2.48,2.67,2.84
01/2009,2.01,1.95,1.80,2.06,2.37,2.83,3.24
02/2009,1.57,1.52,1.52,1.95,2.41,2.95,3.61
03/2009,1.17,1.18,1.20,1.88,2.58,3.22,3.90
04/2009,0.91,0.93,1.01,1.65,2.34,2.90,3.54
05/2009,1.05,1.06,1.14,1.77,2.57,3.15,3.79
06/2009,1.07,1.13,1.39,2.53,3.17,3.61,3.96
07/2009,1.08,1.13,1.43,2.41,2.95,3.38,3.74
08/2009,1.07,1.12,1.43,2.45,3.09,3.50,3.93
09/2009,1.13,1.23,1.51,2.54,3.21,3.60,4.03
10/2009,1.11,1.22,1.59,2.65,3.63,3.92,4.29
11/2009,1.15,1.25,1.60,2.68,3.64,4.05,4.46
12/2009,1.12,1.20,1.52,2.76,3.57,4.03,4.37
01/2010,1.09,1.17,1.48,2.59,3.36,3.82,4.17
02/2010,1.21,1.25,1.58,2.57,3.35,3.78,4.05
03/2010,1.20,1.24,1.61,2.71,3.46,3.82,4.05
04/2010,1.12,1.19,1.62,2.65,3.28,3.59,3.80
05/2010,1.12,1.21,1.59,2.60,3.17,3.48,3.69
06/2010,1.12,1.19,1.53,2.44,3.04,3.24,3.42
07/2010,1.32,1.42,1.79,2.65,3.07,3.24,3.41
08/2010,1.46,1.59,1.99,2.72,2.93,3.10,3.31
09/2010,1.58,1.68,1.99,2.59,2.73,2.87,3.10
10/2010,1.61,1.69,2.00,2.46,2.58,2.80,3.03
11/2010,1.65,1.73,2.08,2.57,2.91,3.23,3.48
12/2010,1.90,1.95,2.30,2.98,3.28,3.53,3.74
01/2011,1.95,2.02,2.55,3.10,3.27,3.55,3.79
02/2011,2.05,2.17,2.61,3.30,3.48,3.68,3.88
03/2011,2.18,2.39,2.75,3.26,3.41,3.66,3.83
04/2011,2.37,2.54,2.88,3.23,3.37,3.62,3.72
05/2011,2.47,2.65,3.09,3.36,3.48,3.67,3.79
06/2011,2.76,2.92,3.29,3.51,3.61,3.72,3.80
07/2011,2.96,3.17,3.60,3.80,3.87,3.97,4.01
08/2011,3.19,3.32,3.50,3.48,3.51,3.58,3.60
09/2011,3.42,3.45,3.53,3.49,3.51,3.60,3.68
10/2011,3.47,3.46,3.44,3.39,3.40,3.49,3.51
11/2011,3.42,3.35,3.26,3.24,3.26,3.35,3.43
12/2011,3.19,3.17,3.10,3.04,3.12,3.22,3.28
01/2012,3.10,3.08,3.06,3.05,3.12,3.18,3.23
02/2012,3.02,3.02,3.05,3.12,3.18,3.28,3.33
03/2012,3.01,3.02,3.11,3.38,3.51,3.64,3.69
04/2012,3.01,3.05,3.15,3.47,3.58,3.71,3.82
05/2012,2.98,3.04,3.17,3.45,3.56,3.73,3.82
06/2012,2.96,3.03,3.15,3.28,3.38,3.53,3.62
07/2012,2.97,3.02,3.11,3.19,3.25,3.35,3.42
08/2012,2.92,2.99,3.00,3.11,3.20,3.31,3.37
09/2012,2.89,3.01,3.01,3.18,3.33,3.55,3.62
10/2012,2.88,2.93,2.96,3.07,3.23,3.37,3.47
11/2012,2.72,2.75,2.74,2.87,3.09,3.27,3.46
12/2012,2.76,2.76,2.76,2.94,3.18,3.37,3.55
01/2013,2.72,2.73,2.77,2.95,3.23,3.43,3.65
02/2013,2.70,2.71,2.71,2.88,3.18,3.39,3.60
03/2013,2.70,2.71,2.74,2.90,3.19,3.40,3.60
04/2013,2.70,2.72,2.74,2.87,3.13,3.31,3.45
05/2013,2.60,2.60,2.60,2.75,2.98,3.16,3.38
06/2013,2.55,2.55,2.57,2.91,3.32,3.57,3.79
07/2013,2.52,2.53,2.56,3.03,3.46,3.64,3.79
08/2013,2.46,2.49,2.53,3.07,3.59,3.84,4.08
09/2013,2.49,2.53,2.60,3.20,3.67,3.94,4.21
10/2013,2.50,2.53,2.60,3.09,3.49,3.72,3.89
11/2013,2.47,2.50,2.57,3.09,3.58,3.86,4.09
12/2013,2.30,2.33,2.38,3.01,3.50,3.80,4.07
01/2014,2.22,2.23,2.26,2.77,3.36,3.69,4.02
02/2014,2.22,2.23,2.25,2.73,3.30,3.63,3.91
03/2014,2.09,2.10,2.13,2.61,3.23,3.57,3.80
04/2014,2.02,2.04,2.08,2.53,3.16,3.44,3.68
05/2014,2.01,2.03,2.06,2.44,3.04,3.38,3.64
06/2014,2.03,2.04,2.08,2.48,3.14,3.51,3.76
07/2014,2.02,2.04,2.12,2.62,3.13,3.47,3.70
08/2014,2.00,2.01,2.11,2.64,3.07,3.35,3.57
09/2014,2.00,2.02,2.11,2.66,3.04,3.31,3.56
10/2014,2.02,2.04,2.11,2.53,2.80,3.05,3.32
11/2014,2.02,2.04,2.08,2.34,2.52,2.75,3.04
12/2014,2.02,2.02,2.01,2.25,2.47,2.66,2.87
01/2015,1.99,1.99,1.98,2.19,2.25,2.37,2.55
02/2015,1.99,1.99,2.00,2.26,2.40,2.54,2.70
03/2015,1.82,1.83,1.83,2.14,2.38,2.57,2.72
